ID,Symbol,Direction,SetupType,Leverage,Entry,SL,TP1,Exit,ExitReason,PnL$,PnL%,RR,SweepDist%,KillZone
1,PAXG-USDT,SHORT,STANDARD,15,4728.227040,4737.692960,4668.890000,4737.692960,SL,-0.05,-0.20,-1.00,0.0000,London
2,ETH-USDT,LONG,STANDARD,15,3087.364280,3081.195720,3234.130000,3081.195720,SL,-0.05,-0.20,-1.00,0.0000,NY
3,APT-USDT,SHORT,STANDARD,15,1.627171,1.630429,1.562800,1.562800,TP1,0.57,2.30,19.76,0.0000,NY
4,PAXG-USDT,SHORT,STANDARD,15,4907.237850,4917.062150,4727.740000,4883.520000,TIME,0.05,0.20,2.41,0.0000,London
5,OP-USDT,SHORT,STANDARD,15,0.314086,0.314714,0.296500,0.314714,SL,-0.05,-0.20,-1.00,0.0000,NY
6,OP-USDT,SHORT,STANDARD,15,0.324975,0.325625,0.294300,0.306600,TIME,0.83,3.25,28.24,0.0000,London
7,BTC-USDT,SHORT,STANDARD,15,90427.681800,90608.718200,87215.300000,89883.000000,TIME,0.07,0.26,3.01,0.0000,NY
8,BTC-USDT,SHORT,STANDARD,15,90209.200500,90389.799500,88468.000000,88776.600000,TIME,0.22,0.82,7.93,0.0000,London
9,ADA-USDT,SHORT,STANDARD,15,0.365804,0.366536,0.355350,0.355350,TP1,0.41,1.53,14.27,0.0000,London
10,DOT-USDT,SHORT,STANDARD,15,1.981017,1.984983,1.903000,1.903000,TP1,0.57,2.11,19.67,0.0000,London
11,APT-USDT,SHORT,STANDARD,15,1.613585,1.616815,1.514900,1.555200,TIME,0.52,1.89,18.07,0.0000,London
12,OP-USDT,SHORT,STANDARD,15,0.318981,0.319619,0.302600,0.302600,TP1,0.75,2.67,25.65,0.0000,London
13,PAXG-USDT,SHORT,STANDARD,15,4977.397620,4987.362380,4825.640000,4969.340000,TIME,0.00,0.01,0.81,0.0000,London
14,BTC-USDT,LONG,STANDARD,15,88556.468000,88379.532000,90299.500000,90080.000000,TIME,0.24,0.82,8.61,0.0000,NY
15,ETH-USDT,LONG,STANDARD,15,2907.374470,2901.565530,3008.490000,2958.470000,TIME,0.24,0.83,8.80,0.0000,NY
16,SOL-USDT,LONG,STANDARD,15,126.801675,126.548325,130.890000,128.027000,TIME,0.12,0.42,4.84,0.0000,NY
17,XRP-USDT,LONG,STANDARD,15,1.902400,1.898599,1.948700,1.923900,TIME,0.15,0.50,5.66,0.0000,NY
18,AVAX-USDT,LONG,STANDARD,15,12.041029,12.016971,12.390000,12.179000,TIME,0.15,0.51,5.73,0.0000,NY
19,LINK-USDT,LONG,STANDARD,15,12.128116,12.103884,12.472000,12.263000,TIME,0.15,0.49,5.57,0.0000,NY
20,SUI-USDT,LONG,STANDARD,15,1.482281,1.479319,1.530200,1.495600,TIME,0.11,0.38,4.50,0.0000,NY
21,PAXG-USDT,SHORT,STANDARD,15,5031.663300,5041.736700,4936.830000,5041.736700,SL,-0.05,-0.17,-1.00,0.0000,NY
22,DOT-USDT,LONG,STANDARD,15,1.898897,1.895103,1.943000,1.895103,SL,-0.05,-0.17,-1.00,0.0000,London
23,NEAR-USDT,SHORT,STANDARD,15,1.518680,1.521720,1.487200,1.487200,TP1,0.29,0.97,10.35,0.0000,London
24,APT-USDT,SHORT,STANDARD,15,1.563435,1.566565,1.533000,1.533000,TP1,0.27,0.90,9.72,0.0000,London
25,SOL-USDT,SHORT,STANDARD,15,127.566306,127.821694,125.905000,125.905000,TP1,0.17,0.57,6.51,0.0000,NY
26,ADA-USDT,SHORT,TRAP_LIQ_SWEEP,50,0.359900,0.360620,0.353550,0.353550,TP1,0.81,2.65,8.81,0.0806,NY
27,NEAR-USDT,SHORT,STANDARD,15,1.513485,1.516515,1.483700,1.483700,TP1,0.27,0.87,9.83,0.0000,NY
28,APT-USDT,SHORT,STANDARD,15,1.582416,1.585584,1.533000,1.533000,TP1,0.45,1.41,15.60,0.0000,NY
29,OP-USDT,SHORT,STANDARD,15,0.306094,0.306706,0.297200,0.297200,TP1,0.41,1.29,14.51,0.0000,NY
30,PAXG-USDT,LONG,STANDARD,15,5025.640620,5015.599380,5121.150000,5093.870000,TIME,0.18,0.56,6.79,0.0000,NY
31,PAXG-USDT,SHORT,STANDARD,15,5142.422430,5152.717570,5035.000000,5035.000000,TP1,0.29,0.89,10.43,0.0000,NY
32,BTC-USDT,SHORT,STANDARD,15,88880.130900,89058.069100,86990.500000,87942.500000,TIME,0.14,0.42,5.27,0.0000,London
33,ETH-USDT,SHORT,STANDARD,15,2952.784260,2958.695740,2874.100000,2929.640000,TIME,0.10,0.29,3.92,0.0000,London
34,SOL-USDT,SHORT,STANDARD,15,125.396478,125.647522,121.738000,124.009000,TIME,0.14,0.44,5.53,0.0000,London
35,DOGE-USDT,SHORT,STANDARD,15,0.123686,0.123934,0.120570,0.122250,TIME,0.15,0.46,5.80,0.0000,London
36,NEAR-USDT,SHORT,STANDARD,15,1.485813,1.488787,1.439400,1.461500,TIME,0.22,0.67,8.17,0.0000,London
37,APT-USDT,SHORT,STANDARD,15,1.588310,1.591490,1.525900,1.525900,TP1,0.57,1.68,19.63,0.0000,London
38,XRP-USDT,LONG,STANDARD,15,1.882781,1.879019,1.945400,1.915500,TIME,0.24,0.70,8.70,0.0000,NY
39,DOGE-USDT,LONG,STANDARD,15,0.121101,0.120859,0.123810,0.123810,TP1,0.31,0.91,11.20,0.0000,NY
40,AVAX-USDT,LONG,STANDARD,15,11.620609,11.597391,11.908000,11.908000,TP1,0.35,1.00,12.38,0.0000,NY
41,APT-USDT,LONG,STANDARD,15,1.528927,1.525873,1.589900,1.568600,TIME,0.37,1.04,12.99,0.0000,NY
42,ARB-USDT,LONG,STANDARD,15,0.167567,0.167233,0.173300,0.171400,TIME,0.32,0.90,11.45,0.0000,NY
43,OP-USDT,LONG,STANDARD,15,0.292893,0.292307,0.301600,0.299900,TIME,0.34,0.94,11.97,0.0000,NY
44,PAXG-USDT,SHORT,STANDARD,15,5121.932940,5132.187060,4987.840000,5132.187060,SL,-0.05,-0.14,-1.00,0.0000,NY
45,BTC-USDT,SHORT,STANDARD,15,89400.010500,89578.989500,87265.600000,89400.010500,NO_DATA,-0.02,-0.06,0.00,0.0000,London
46,ETH-USDT,SHORT,STANDARD,15,3030.486480,3036.553520,2899.100000,3030.486480,NO_DATA,-0.02,-0.06,0.00,0.0000,London
47,SOL-USDT,SHORT,STANDARD,15,127.654218,127.909782,123.060000,127.654218,NO_DATA,-0.02,-0.06,0.00,0.0000,London
48,DOGE-USDT,SHORT,STANDARD,15,0.126443,0.126697,0.121320,0.126443,NO_DATA,-0.02,-0.06,0.00,0.0000,London
49,AVAX-USDT,SHORT,STANDARD,15,12.184803,12.209197,11.573000,12.184803,NO_DATA,-0.02,-0.06,0.00,0.0000,London
50,OP-USDT,SHORT,STANDARD,15,0.303996,0.304604,0.291500,0.303996,NO_DATA,-0.02,-0.06,0.00,0.0000,London
51,BTC-USDT,SHORT,STANDARD,15,89400.010500,89578.989500,87265.600000,89400.010500,NO_DATA,-0.02,-0.06,0.00,0.0000,NY
52,ETH-USDT,SHORT,STANDARD,15,3030.486480,3036.553520,2899.100000,3030.486480,NO_DATA,-0.02,-0.06,0.00,0.0000,NY
53,SOL-USDT,SHORT,STANDARD,15,127.654218,127.909782,123.060000,127.654218,NO_DATA,-0.02,-0.06,0.00,0.0000,NY
54,DOGE-USDT,SHORT,STANDARD,15,0.126443,0.126697,0.121320,0.126443,NO_DATA,-0.02,-0.06,0.00,0.0000,NY
55,AVAX-USDT,SHORT,STANDARD,15,12.184803,12.209197,11.573000,12.184803,NO_DATA,-0.02,-0.06,0.00,0.0000,NY
56,OP-USDT,SHORT,STANDARD,15,0.303996,0.304604,0.291500,0.303996,NO_DATA,-0.02,-0.06,0.00,0.0000,NY
